,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
149,V176,44,54,98,95,104,79.0
150,V177,36,48,76,74,90,64.8
151,V178,71,68,145,153,174,122.2
152,V180,75,89,107,105,112,97.6
153,V182,54,52,94,88,118,81.2
154,V184,39,38,79,68,124,69.6
155,V187,81,107,259,324,439,242.0
156,V188,34,50,116,103,108,82.2
157,V189,124,143,227,269,237,200.0
158,V195,23,18,17,28,22,21.6
159,V197,62,31,50,46,120,61.8
160,V200,47,90,162,168,205,134.4
161,V201,118,83,196,250,222,173.8
162,V202,251,206,293,310,358,283.6
163,V203,518,348,534,582,722,540.8
164,V204,330,276,386,379,437,361.6
165,V205,137,133,236,281,317,220.8
166,V206,131,141,218,245,276,202.2
167,V207,214,165,281,385,470,303.0
168,V208,186,192,253,355,552,307.6
169,V209,188,174,253,389,498,300.4
170,V210,133,124,227,321,410,243.0
171,V212,200,168,224,270,345,241.4
172,V213,144,98,221,220,259,188.4
173,V214,196,132,208,224,231,198.2
174,V215,187,206,298,274,376,268.2
175,V216,151,137,221,275,313,219.4
176,V217,111,93,180,157,216,151.4
177,V219,124,124,197,186,251,176.4
178,V220,35,71,82,166,204,111.6
179,V221,485,373,566,582,700,541.2
180,V222,346,259,448,434,547,406.8
181,V223,98,84,126,139,173,124.0
182,V224,186,175,249,300,277,237.4
183,V225,64,51,129,131,119,98.8
184,V226,59,78,145,187,182,130.2
185,V227,25,42,107,100,115,77.8
186,V228,39,55,113,154,176,107.4
187,V229,131,149,274,281,399,246.8
188,V231,42,36,117,102,115,82.4
189,V233,55,67,138,129,172,112.2
190,V234,145,195,260,306,310,243.2
191,V238,54,45,79,74,119,74.2
192,V239,50,55,110,98,143,91.2
193,V242,27,18,45,72,102,52.8
194,V243,89,115,168,194,285,170.2
195,V244,61,70,80,72,135,83.6
196,V245,333,295,297,279,375,315.8
197,V246,29,41,62,72,116,64.0
198,V247,25,17,31,34,40,29.4
199,V249,45,25,56,35,51,42.4
200,V251,150,135,237,245,353,224.0
201,V253,80,82,136,145,145,117.6
202,V256,140,108,256,262,277,208.6
203,V257,88,104,199,226,301,183.6
204,V258,252,303,418,420,470,372.6
205,V259,258,185,245,264,339,258.2
206,V261,270,322,528,522,764,481.2
207,V262,98,156,229,289,357,225.8
208,V263,335,266,497,483,450,406.2
209,V264,701,697,968,970,1032,873.6
210,V265,450,419,619,570,618,535.2
211,V266,170,218,326,489,662,373.0
212,V267,361,391,570,686,775,556.6
213,V268,172,200,329,376,446,304.6
214,V270,216,207,358,386,395,312.4
215,V271,166,218,387,390,531,338.4
216,V272,122,197,282,353,358,262.4
217,V273,122,126,242,235,250,195.0
218,V274,227,302,441,534,584,417.6
219,V275,132,198,332,334,393,277.8
220,V276,153,127,251,284,367,236.4
221,V277,234,245,488,565,589,424.2
222,V278,165,169,360,396,443,306.6
223,V279,222,206,273,412,406,303.8
224,V280,268,247,414,422,513,372.8
225,V282,570,622,1116,1332,1796,1087.2
226,V283,674,716,1241,1366,1707,1140.8
227,V285,996,758,1169,1189,1390,1100.4
228,V287,132,139,234,245,278,205.6
229,V288,44,61,126,237,353,164.2
230,V289,245,225,324,334,468,319.2
231,V291,469,424,689,764,916,652.4
232,V292,147,145,254,290,340,235.2
233,V294,720,561,794,813,850,747.6
234,V303,60,49,70,126,106,82.2
235,V304,71,28,52,63,47,52.2
236,V306,860,858,1157,1197,1228,1060.0
237,V307,3321,2561,3562,3674,4028,3429.2
238,V308,1538,1121,1643,1824,1818,1588.8
239,V310,3345,2460,3653,3643,3964,3413.0
240,V312,1413,1146,1736,1946,2123,1672.8
241,V313,1424,1740,2713,3158,4001,2607.2
242,V314,1605,1433,2276,2355,2849,2103.6
243,V315,1398,1535,2384,2658,3305,2256.0
244,V317,1294,1212,1643,1595,1771,1503.0
245,V322,44,46,69,63,75,59.4
246,V323,179,250,307,304,309,269.8
247,V324,62,88,116,98,145,101.8
248,V326,77,78,107,96,139,99.4
249,V329,72,76,96,115,112,94.2
250,V331,103,74,139,134,149,119.8
251,V332,246,240,317,352,358,302.6
252,V333,139,162,196,212,211,184.0
253,V335,106,116,189,146,241,159.6
254,V336,56,61,145,113,118,98.6
255,V338,105,97,134,153,184,134.6
256,id_01,1729,1323,2044,1844,2267,1841.4
257,id_02,7249,5383,6294,5417,6053,6079.2
258,id_03,222,349,478,585,658,458.4
259,id_05,2467,2030,2906,2831,3075,2661.8
260,id_06,2571,2122,2612,2684,3283,2654.4
261,id_09,506,441,564,573,726,562.0
262,id_11,326,219,322,314,361,308.4
263,id_12,15,19,20,35,29,23.6
264,id_13,2206,1699,2782,3122,3651,2692.0
265,id_14,1300,858,1359,1318,1446,1256.2
266,id_15,182,188,306,245,301,244.4
267,id_17,282,356,692,586,717,526.6
268,id_19,6049,3926,5465,4812,5870,5224.4
269,id_20,5733,4105,5554,5753,6668,5562.6
270,id_30,1628,1348,1903,1944,2092,1783.0
271,id_31,2958,2300,3453,3820,4783,3462.8
272,id_32,459,372,336,346,357,374.0
273,id_33,2050,1490,2031,1925,2037,1906.6
274,id_36,29,18,55,54,69,45.0
275,id_37,100,139,286,215,309,209.8
276,id_38,424,469,826,941,1011,734.2
277,DeviceType,264,280,472,552,626,438.8
278,DeviceInfo,1657,1617,2370,2503,2880,2205.4
279,TransactionAmt_decimal,5033,3910,5781,5583,6534,5368.2
280,card1_count_full,21266,16416,23958,24908,28142,22938.0
281,Transaction_day_of_week,6835,5461,7259,6893,7275,6744.6
282,Transaction_hour,12023,7707,10759,10096,11088,10334.6
283,id_02__id_20,5318,3403,3914,3106,3544,3857.0
284,id_02__D8,3423,2299,2467,1911,2131,2446.2
285,D11__DeviceInfo,3853,3025,4056,4711,5561,4241.2
286,DeviceInfo__P_emaildomain,6654,5060,7167,7204,8295,6876.0
287,P_emaildomain__C2,10396,7997,11300,11674,13223,10918.0
288,card2__dist1,14023,10098,14905,14934,17552,14302.4
289,card1__card5,17454,13272,18291,19120,22547,18136.8
290,card2__id_20,10476,7825,10335,10072,11693,10080.2
291,card5__P_emaildomain,11813,9269,12937,13669,15582,12654.0
292,addr1__card1,20160,15269,22395,22662,25778,21252.8
293,id_36_count_full,42,41,105,118,162,93.6
294,id_01_count_dist,968,838,1371,1331,1633,1228.2
295,id_31_count_dist,3077,2540,3845,3942,4875,3655.8
296,id_33_count_dist,2096,1717,2117,2298,2455,2136.6
297,id_36_count_dist,30,31,60,90,97,61.6
